symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,ticker,market_cap_usd,nasdaq_sector,nasdaq_industry,company_name,cik,gics_company_name,gics_sector,gics_industry,classification_source,included_by,snapshot_date,universe_source,universe_source_url,calls_in_gold_corpus,first_event_date,last_event_date,snapshot_log_market_cap,snapshot_market_cap_percentile
HPQ,HP Inc. Common Stock,$18.99,-0.24,-1.248%,16722106,17428734339.00,United States,,"Technology Hardware, Storage & Peripherals",Information Technology,/market-activity/stocks/hpq,HPQ,17428734339.0,Technology,Computer Manufacturing,HP Inc.,47217,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,40,2006-02-16,2025-02-27,23.58138607990034,0.17391304347826086
CDW,CDW Corporation Common Stock,$130.04,-1.85,-1.403%,987480,16737172845.00,United States,2013,Technology Distributors,Information Technology,/market-activity/stocks/cdw,CDW,16737172845.0,Technology,Retail: Computer Software & Peripheral Equipment,CDW Corporation,1402057,CDW Corporation,Information Technology,Technology Distributors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,33,2014-07-31,2024-10-30,23.540898001544143,0.15942028985507245
FFIV,F5 Inc. Common Stock,$295.19,-2.88,-0.966%,572572,16683924197.00,United States,1999,Communications Equipment,Information Technology,/market-activity/stocks/ffiv,FFIV,16683924197.0,Telecommunications,Computer Communications Equipment,"F5, Inc.",1048695,"F5, Inc.",Information Technology,Communications Equipment,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,57,2010-01-20,2025-04-28,23.53771146981598,0.14492753623188406
SMCI,Super Micro Computer Inc. Common Stock,$27.20,1.23,4.736%,40778455,16292512442.00,United States,2020,"Technology Hardware, Storage & Peripherals",Information Technology,/market-activity/stocks/smci,SMCI,16292512442.0,Technology,Computer Manufacturing,Supermicro,1375365,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,44,2013-10-22,2025-05-06,23.51397147983478,0.13043478260869565
PTC,PTC Inc. Common Stock,$133.65,-0.56,-0.417%,1342420,15903830903.00,United States,,Application Software,Information Technology,/market-activity/stocks/ptc,PTC,15903830903.0,Technology,Computer Software: Prepackaged Software,PTC Inc.,857005,PTC Inc.,Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,45,2014-01-23,2025-04-30,23.489825854447467,0.11594202898550725
TRMB,Trimble Inc. Common Stock,$66.51,-0.38,-0.568%,1563390,15436221499.00,United States,1990,Electronic Equipment & Instruments,Information Technology,/market-activity/stocks/trmb,TRMB,15436221499.0,Industrials,Industrial Machinery/Components,Trimble Inc.,864749,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,40,2014-05-06,2025-05-07,23.459982630026474,0.10144927536231885
TYL,Tyler Technologies Inc. Common Stock,$322.31,1.46,0.455%,581899,13683252047.00,United States,,Application Software,Information Technology,/market-activity/stocks/tyl,TYL,13683252047.0,Technology,Computer Software: Prepackaged Software,Tyler Technologies,860731,Tyler Technologies,Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,36,2014-10-23,2025-04-24,23.339438443623163,0.08695652173913043
AKAM,Akamai Technologies Inc. Common Stock,$88.84,-6.10,-6.425%,8712890,13079295584.00,United States,1999,Internet Services & Infrastructure,Information Technology,/market-activity/stocks/akam,AKAM,13079295584.0,Real Estate,Real Estate,Akamai Technologies,1086222,Akamai Technologies,Information Technology,Internet Services & Infrastructure,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,40,2006-02-11,2025-02-20,23.29429632709101,0.07246376811594203
GEN,Gen Digital Inc. Common Stock,$18.91,0.00,0.00%,5529188,11453101966.00,United States,,Systems Software,Information Technology,/market-activity/stocks/gen,GEN,11453101966.0,Technology,Computer Software: Prepackaged Software,Gen Digital,849399,Gen Digital,Information Technology,Systems Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,48,2008-01-23,2025-05-06,23.161526444317207,0.057971014492753624
ZBRA,Zebra Technologies Corporation Class A Common Stock,$226.70,0.61,0.27%,894716,10963803234.00,United States,1991,Electronic Equipment & Instruments,Information Technology,/market-activity/stocks/zbra,ZBRA,10963803234.0,Industrials,Industrial Machinery/Components,Zebra Technologies,877212,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,44,2014-05-06,2025-04-29,23.117865068673556,0.043478260869565216
GDDY,GoDaddy Inc. Class A Common Stock,$79.32,-2.63,-3.209%,2635320,10577648560.00,United States,2015,Internet Services & Infrastructure,Information Technology,/market-activity/stocks/gddy,GDDY,10577648560.0,Technology,EDP Services,GoDaddy,1609711,GoDaddy,Information Technology,Internet Services & Infrastructure,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,23,2015-05-12,2025-02-13,23.08200898536651,0.028985507246376812
IT,Gartner Inc. Common Stock,$149.10,-5.12,-3.32%,1322775,10504138835.00,United States,1993,IT Consulting & Other Services,Information Technology,/market-activity/stocks/it,IT,10504138835.0,Consumer Discretionary,Other Consumer Services,Gartner,749251,Gartner,Information Technology,IT Consulting & Other Services,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,24,2016-05-05,2025-05-06,23.07503519120533,0.014492753623188406
NVDA,NVIDIA Corporation Common Stock,$196.51,7.20,3.803%,160668320,4775193000000.00,United States,1999,Semiconductors,Information Technology,/market-activity/stocks/nvda,NVDA,4775193000000.0,Technology,Semiconductors,Nvidia,1045810,Nvidia,Information Technology,Semiconductors,sp500_gics,sector_filter+forced_include,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,70,2006-02-18,2025-02-26,29.194455507892588,1.0
AAPL,Apple Inc. Common Stock,$258.83,-0.37,-0.143%,48213385,3799919466200.00,United States,1980,"Technology Hardware, Storage & Peripherals",Information Technology,/market-activity/stocks/aapl,AAPL,3799919466200.0,Technology,Computer Manufacturing,Apple Inc.,320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",sp500_gics,sector_filter+forced_include,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,50,2006-01-19,2023-02-02,28.966000989331047,0.9710144927536232
MSFT,Microsoft Corporation Common Stock,$393.11,8.74,2.274%,37334352,2919089046066.00,United States,1986,Systems Software,Information Technology,/market-activity/stocks/msft,MSFT,2919089046066.0,Technology,Computer Software: Prepackaged Software,Microsoft,789019,Microsoft,Information Technology,Systems Software,sp500_gics,sector_filter+forced_include,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,61,2006-01-27,2025-04-30,28.70229271301047,0.9565217391304348
